№,Описание испытания,Порядок выполнения испытания,Признак успешного прохождения испытания
1,Регистрация нового пользователя по электронной почте и паролю,"1. Открыть страницу регистрации
2. Ввести email и пароль
3. Подтвердить регистрацию","Пользователь зарегистрирован, появляется в системе"
2,Вход в систему (аутентификация),"1. Открыть страницу входа
2. Ввести email и пароль
3. Выполнить вход","Открывается личный кабинет пользователя"
3,Восстановление сессии при обновлении страницы,"1. Войти в систему
2. Обновить страницу","Сессия сохраняется, пользователь остаётся авторизован"
4,Просмотр списка своих деревьев,"1. Войти в систему
2. Перейти в раздел 'Мои деревья'","Отображается список деревьев пользователя"
5,Создание нового семейного дерева,"1. Перейти в раздел 'Мои деревья'
2. Нажать 'Создать дерево'
3. Ввести название и описание
4. Сохранить","Новое дерево появляется в списке"
6,Редактирование метаданных дерева (название, описание),"1. Открыть нужное дерево
2. Нажать 'Редактировать'
3. Изменить данные
4. Сохранить","Изменения отображаются в дереве"
7,Удаление дерева,"1. Открыть нужное дерево
2. Нажать 'Удалить'
3. Подтвердить удаление","Дерево исчезает из списка"
8,Просмотр дерева,"1. Открыть нужное дерево","Отображается граф дерева и список персон"
9,Добавление персоны в дерево,"1. Открыть дерево
2. Нажать 'Добавить персону'
3. Заполнить форму
4. Сохранить","Новая персона появляется в дереве"
10,Редактирование данных персоны,"1. Открыть профиль персоны
2. Нажать 'Редактировать'
3. Изменить данные
4. Сохранить","Изменения отображаются в профиле персоны"
11,Удаление персоны из дерева,"1. Открыть профиль персоны
2. Нажать 'Удалить'
3. Подтвердить удаление","Персона исчезает из дерева"
12,Установка родственной связи между двумя персонами,"1. Открыть профиль одной из персон
2. Нажать 'Добавить связь'
3. Выбрать вторую персону и тип связи
4. Сохранить","Связь отображается в дереве"
13,Удаление родственной связи,"1. Открыть профиль персоны
2. Найти нужную связь
3. Нажать 'Удалить связь'","Связь исчезает из дерева"
14,Сворачивание / разворачивание ветви дерева в графе,"1. Открыть дерево
2. Нажать на ветвь для сворачивания/разворачивания","Ветвь скрывается или раскрывается в графе"
15,Поиск персон в дереве по имени,"1. Открыть дерево
2. Ввести имя в строку поиска","В результатах поиска отображаются подходящие персоны"
16,Вычисление и отображение пути родства между двумя персонами,"1. Открыть дерево
2. Выбрать двух персон
3. Нажать 'Показать путь'","Путь родства отображается на графе"
17,Добавление медиафайла (фото, документ) к персоне,"1. Открыть профиль персоны
2. Перейти на вкладку 'Фото/Документы'
3. Загрузить файл","Файл появляется в галерее персоны"
18,Удаление жизненного события,"1. Открыть профиль персоны
2. Перейти на вкладку 'События'
3. Удалить событие","Событие исчезает из профиля"
19,Добавление медиафайла к событию,"1. Открыть событие
2. Загрузить файл","Файл появляется в событии"
20,Удаление комментария,"1. Открыть комментарий
2. Нажать 'Удалить'","Комментарий исчезает из списка"
21,Экспорт дерева в формате GEDCOM,"1. Открыть дерево
2. Нажать 'Экспортировать в GEDCOM'","Файл успешно скачан, структура соответствует дереву"
22,Экспорт дерева в формате JSON,"1. Открыть дерево
2. Нажать 'Экспортировать в JSON'","Файл успешно скачан, структура соответствует дереву"
23,Приглашение соавтора по токен-ссылке,"1. Открыть настройки дерева
2. Перейти в раздел 'Участники'
3. Нажать 'Пригласить'
4. Скопировать токен-ссылку и отправить соавтору","Токен-ссылка сгенерирована и доступна для отправки"
24,Принятие приглашения по токен-ссылке,"1. Перейти по токен-ссылке
2. Авторизоваться или зарегистрироваться
3. Принять приглашение","Пользователь становится участником дерева"
25,Переключение тёмной темы интерфейса,"1. Открыть меню настроек
2. Включить тёмную тему","Интерфейс переключается на тёмную тему"
26,Редактирование профиля пользователя,"1. Открыть раздел 'Профиль'
2. Изменить данные
3. Сохранить","Изменения сохраняются и отображаются при повторном входе"
27,Удаление участника дерева,"1. Открыть настройки дерева
2. Перейти в раздел 'Участники'
3. Выбрать участника
4. Нажать 'Удалить'","Участник исчезает из списка"
28,Изменение роли участника дерева,"1. Открыть настройки дерева
2. Перейти в раздел 'Участники'
3. Выбрать участника
4. Изменить роль
5. Сохранить","Роль участника изменена и отображается в списке"